"","Acanthocyclops_robustus","Asplanchna_sieboldi","Batrachospermum_gelatinosum","Bothrioneurum_vejdovskyanum","Brachionus","Brachionus_angularis","Brachionus_calyciflorus","Chaetogaster_diaphanus","Chaetogaster_diastrophus","Chaetonotus_sp._bor_MK-2018","Chironomidae","Chironomus","Chironomus_luridus","Chironomus_nuditarsis","Chironomus_sp._BOLD:AAI4299","Chydoridae","Chydorus_brevilabris","Cloeon_dipterum","Cochliopodium","Cochliopodium_actinophorum","Corophium_multisetosum","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus","Cricotopus_laricomalis","Cyclopidae","Cyclopoida","Cyclops_abyssorum","Cyprideis_torosa","Cypridopsis_vidua","Daphnia","Daphnia_ambigua","Daphniidae","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_macrurus","Eucyclops_serrulatus","Eudiaptomus_gracilis","Eurytemora_affinis","Gammarus_tigrinus","Gammarus_zaddachi","Hydra","Hydra_oligactis","Hymenoptera","Keratella","Keratella_cochlearis","Keratella_quadrata","Limnocythere_inopinata","Lumbricillus_fennicus","Lype_phaeopa","Macrothrix_sp._HE-364","Mesocyclops_leuckarti","Nais","Nais_barbata","Nais_christinae","Nais_communis/variabilis_complex_sp._A3","Ophidonais_serpentina","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Polyarthra_sp._WM-2017a","Polypedilum_nubeculosum","Polypedilum_sp._9_SC","Polyphemus_pediculus","Potamopyrgus_antipodarum","Procladius_ferrugineus","Radix_auricularia","Radix_balthica","Stagnicola","Stenostomum_sthenum","Stylaria_lacustris","Synchaeta","Synchaeta_cf._tremula/oblonga_UO-2012","Synchaeta_pectinata","Synchaeta_sp._WM-2017a","Tanytarsus_bathophilus","Tanytarsus_lestagei","Tubifex_tubifex","Uncinais_uncinata","Urocentrum_turbo","Woloszynskia","time","sample_id","site","sample_type","predator_id","Crangonyx"
"WB.304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB304","WB","gut","Gammarus_zaddachi",0
"WB.303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB303","WB","gut","Gammarus_zaddachi",0
"WB.302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB302","WB","gut","Gammarus_zaddachi",0
"WB.301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB301","WB","gut","Gammarus_zaddachi",0
"WB.213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB213","WB","gut","Gammarus_zaddachi",0
"WB.212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB212","WB","gut","Gammarus_zaddachi",0
"WB.211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB211","WB","gut","Gammarus_zaddachi",0
"WB.210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB210","WB","gut","Gammarus_zaddachi",0
"WB.312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB312","WB","gut","Gammarus_zaddachi",0
"WB.311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"May","WB311","WB","gut","Gammarus_zaddachi",0
